imdb_id,title,genre,imdb_rating,votes,year
tt0121220,dragon ball z,"Action, Adventure, Animation",8.8,90661,1989
tt10233448,vinland saga,"Action, Adventure, Animation",8.8,83886,2019
tt0063929,monty python's flying circus,Comedy,8.8,79835,1969
tt1910272,steins;gate,"Animation, Comedy, Drama",8.8,77385,2011
tt3718778,over the garden wall,"Adventure, Animation, Comedy",8.8,75321,2014
tt0353049,chappelle's show,"Comedy, Music",8.8,73250,2003
tt0096548,blackadder goes forth,"Comedy, War",8.8,57818,1989
tt15435876,the penguin,"Crime, Drama",8.8,54147,2024
tt16026746,x-men '97,"Action, Adventure, Animation",8.8,37178,2024
tt0081834,das boot,"Drama, War",8.8,33954,1985
tt1795096,behzat ç: an ankara detective story,"Crime, Drama, Mystery",8.8,33515,2010
tt7927936,flames,"Comedy, Drama, Romance",8.8,33050,2018
tt0074006,"i, claudius","Biography, Drama, History",8.8,19833,1976
tt15295490,campus diaries,"Comedy, Drama, Romance",8.8,17359,2022
tt22727518,another love,"Crime, Drama, Romance",8.8,15960,2023
tt9566030,pew news,"Comedy, News",8.8,14787,2018
tt7621364,black pearl,Drama,8.8,13522,2017
tt6108262,black sun,"Crime, Drama, Thriller",8.8,12628,2017
tt13661118,not me,"Action, Crime, Romance",8.8,12206,2021
tt0481256,fighting spirit,"Action, Animation, Comedy",8.8,11368,2000
tt4574334,stranger things,"Drama, Fantasy, Horror",8.7,1388542,2016
tt1190634,the boys,"Action, Comedy, Crime",8.7,732891,2019
tt2442560,peaky blinders,"Crime, Drama",8.7,679679,2013
tt2085059,black mirror,"Crime, Drama, Mystery",8.7,659579,2011
tt3581920,the last of us,"Action, Adventure, Drama",8.7,575731,2023
tt0412142,house,"Drama, Mystery",8.7,535429,2004
tt2707408,narcos,"Biography, Crime, Drama",8.7,483471,2015
tt5753856,dark,"Crime, Drama, Mystery",8.7,465567,2017
tt0096697,the simpsons,"Animation, Comedy",8.7,444193,1989
tt0121955,south park,"Animation, Comedy",8.7,413614,1997
tt0367279,arrested development,Comedy,8.7,329248,2003
tt0804503,mad men,Drama,8.7,267054,2007
tt4236770,yellowstone,"Drama, Western",8.7,237608,2018
tt1606375,downton abbey,"Drama, Romance",8.7,229624,2010
tt11280740,severance,"Drama, Mystery, Sci-Fi",8.7,226434,2022
tt6741278,invincible,"Action, Adventure, Animation",8.7,220703,2021
tt5687612,fleabag,"Comedy, Drama",8.7,214105,2016
tt4508902,one punch man,"Action, Animation, Comedy",8.7,193060,2015
tt0384766,rome,"Action, Drama, Romance",8.7,189909,2005
tt0988824,naruto: shippuden,"Action, Adventure, Animation",8.7,182259,2007
tt0407362,battlestar galactica,"Action, Adventure, Drama",8.7,178732,2004
tt5555260,this is us,"Comedy, Drama, Romance",8.7,163154,2016
tt0248654,six feet under,"Comedy, Drama",8.7,153733,2001
tt5788792,the marvelous mrs. maisel,"Comedy, Drama",8.7,146610,2017
tt0092455,star trek: the next generation,"Action, Adventure, Drama",8.7,139822,1987
tt1628033,top gear,"Adventure, Sport, Talk-Show",8.7,129559,2002
tt13991232,1883,"Drama, Western",8.7,123586,2021
tt0118421,oz,"Crime, Drama, Thriller",8.7,109148,1997
tt9544034,the family man,"Action, Comedy, Drama",8.7,101431,2019
tt0286486,the shield,"Crime, Drama, Thriller",8.7,90258,2002
tt5712554,the grand tour,"Comedy, Sport, Talk-Show",8.7,87694,2016
tt0994314,code geass,"Action, Animation, Drama",8.7,84801,2006
tt13309742,blue eye samurai,"Action, Adventure, Animation",8.7,79694,2023
tt0758745,friday night lights,"Drama, Sport",8.7,73972,2006
tt2303687,line of duty,"Crime, Drama, Mystery",8.7,72740,2012
tt0387764,peep show,Comedy,8.7,68156,2003
tt0318871,berserk,"Action, Adventure, Animation",8.7,58919,1997
tt0434706,monster,"Animation, Crime, Drama",8.7,50160,2004
tt10850932,crash landing on you,"Adventure, Comedy, Drama",8.7,45672,2019
tt0111958,father ted,Comedy,8.7,44704,1995
tt3398540,haikyu!!,"Animation, Comedy, Drama",8.7,39501,2014
tt1534360,ezel,"Crime, Drama, Thriller",8.7,38640,2009
tt7472896,mr inbetween,"Crime, Drama",8.7,34878,2018
tt0459159,the thick of it,Comedy,8.7,26810,2005
tt0096639,lonesome dove,"Adventure, Drama, Western",8.7,26726,1989
tt0086661,the adventures of sherlock holmes,"Crime, Drama, Mystery",8.7,24743,1984
tt10332508,primal,"Action, Adventure, Animation",8.7,22505,2019
tt6025022,justice league unlimited,"Action, Adventure, Animation",8.7,21401,2004
tt20859920,alchemy of souls,"Action, Drama, Fantasy",8.7,19903,2022
tt0080306,yes minister,Comedy,8.7,16953,1980
tt0988818,gintama,"Action, Animation, Comedy",8.7,16463,2005
tt4063800,the bureau,"Drama, Thriller",8.7,15055,2015
tt0106028,homicide: life on the street,"Crime, Drama, Mystery",8.7,15004,1993
tt11007006,azize,Drama,8.7,14299,2019
tt10801534,how to with john wilson,"Comedy, Documentary",8.7,14142,2020
tt0090509,the return of sherlock holmes,"Crime, Drama, Mystery",8.7,13698,1986
tt0229889,el chavo del ocho,"Comedy, Family",8.7,13534,1972
tt6111552,content cop,"Comedy, Crime, Talk-Show",8.7,12619,2015
tt4269716,umbre,"Crime, Drama, Thriller",8.7,11684,2014
tt7094780,mr. sunshine,"Action, Drama, Romance",8.7,11053,2018
tt10554898,the untamed,"Action, Adventure, Drama",8.7,10628,2019
tt0773262,dexter,"Crime, Drama, Mystery",8.6,800757,2006
tt8111088,the mandalorian,"Action, Adventure, Fantasy",8.6,604992,2019
tt1856010,house of cards,Drama,8.6,538035,2013
tt3322312,daredevil,"Action, Crime, Drama",8.6,485041,2015
tt5290382,mindhunter,"Crime, Drama, Mystery",8.6,351831,2017
tt1124373,sons of anarchy,"Crime, Drama, Thriller",8.6,331500,2008
tt1266020,parks and recreation,Comedy,8.6,295261,2009
tt4786824,the crown,"Biography, Drama, History",8.6,263575,2016
tt0106179,the x-files,"Adventure, Crime, Drama",8.6,256081,1993
tt14452776,the bear,"Comedy, Drama",8.6,251473,2022
tt0979432,boardwalk empire,"Crime, Drama",8.6,206793,2010
tt2788316,shogun,"Adventure, Drama, History",8.6,184510,2024
tt9335498,demon slayer: kimetsu no yaiba,"Action, Adventure, Animation",8.6,168803,2019
tt1486217,archer,"Action, Animation, Comedy",8.6,168695,2009
tt0096657,mr. bean,"Comedy, Family",8.6,137596,1990
tt1870479,the newsroom,Drama,8.6,127174,2012
tt1489428,justified,"Action, Crime, Drama",8.6,121781,2010
tt0348914,deadwood,"Crime, Drama, History",8.6,120354,2004
tt1305826,adventure time,"Action, Adventure, Animation",8.6,117340,2010
tt7908628,what we do in the shadows,"Comedy, Fantasy, Horror",8.6,109328,2019
tt4288182,atlanta,"Comedy, Drama, Music",8.6,91040,2016
tt9174558,dopesick,Drama,8.6,82299,2021
tt1733785,the bridge,"Crime, Mystery, Thriller",8.6,78495,2011
tt5421602,anne with an e,"Drama, Family",8.6,69810,2017
tt4299972,the jinx: the life and deaths of robert durst,"Biography, Crime, Documentary",8.6,54402,2015
tt0094525,poirot,"Crime, Drama, Mystery",8.6,53680,1989
tt0088484,blackadder ii,Comedy,8.6,50717,1986
tt5897304,mob psycho 100,"Action, Animation, Comedy",8.6,49767,2016
tt0092324,blackadder the third,Comedy,8.6,47792,1987
tt2100976,impractical jokers,"Comedy, Reality-TV",8.6,47150,2011
tt1641384,young justice,"Action, Adventure, Animation",8.6,46762,2010
tt2049116,gomorrah,"Crime, Drama, Thriller",8.6,45629,2014
tt13111040,the offer,"Biography, Crime, Drama",8.6,42637,2022
tt5288312,skam,"Drama, Romance",8.6,39636,2015
tt11854694,special ops,"Action, Crime, Thriller",8.6,38182,2020
tt9140342,it's a sin,Drama,8.6,37893,2021
tt12451520,it's okay to not be okay,"Comedy, Drama, Romance",8.6,37543,2020
tt0053488,the bugs bunny show,"Animation, Comedy",8.6,36171,1960
tt0417349,north & south,"Drama, Romance",8.6,35645,2004
tt2701582,endeavour,"Crime, Drama, Mystery",8.6,34549,2012
tt0380136,qi,"Comedy, Game-Show",8.6,34032,2003
tt7562112,pose,Drama,8.6,33729,2018
tt1983079,call the midwife,"Drama, History",8.6,32491,2012
tt4647692,letterkenny,Comedy,8.6,30882,2016
tt5994364,guardian: the lonely and great god,"Comedy, Drama, Fantasy",8.6,30319,2016
tt20869502,extraordinary attorney woo,Drama,8.6,29528,2022
tt0417373,the venture bros.,"Action, Adventure, Animation",8.6,28586,2003
tt4156586,permanent roommates,"Comedy, Romance",8.6,26507,2014
tt0094517,mystery science theater 3000,"Comedy, Sci-Fi",8.6,26159,1988
tt2433738,wentworth,"Crime, Drama, Thriller",8.6,25347,2013
tt21056886,scavengers reign,"Adventure, Animation, Drama",8.6,23852,2023
tt4082744,detectorists,Comedy,8.6,22359,2014
tt2244495,the eric andre show,"Comedy, Talk-Show",8.6,22346,2012
tt0129690,i'm alan partridge,Comedy,8.6,22328,1997
tt0421291,avrupa yakasi,Comedy,8.6,21885,2004
tt28857177,lucky guy,"Comedy, Drama, Fantasy",8.6,21514,2023
tt2311418,isler güçler,Comedy,8.6,21489,2012
tt8050756,the owl house,"Action, Adventure, Animation",8.6,21080,2020
tt7278862,my brilliant friend,Drama,8.6,19111,2018
tt0310455,foyle's war,"Crime, Drama, Mystery",8.6,18869,2002
tt1513168,through the wormhole,Documentary,8.6,18566,2010
tt10590066,all creatures great & small,"Comedy, Drama",8.6,18104,2020
tt9814458,bandish bandits,"Drama, Music, Romance",8.6,17875,2020
tt3671754,kardes payi,Comedy,8.6,17446,2014
tt0203082,rurouni kenshin: trust and betrayal,"Action, Adventure, Animation",8.6,16610,1999
tt0403778,long way round,"Adventure, Documentary",8.6,15544,2004
tt17513352,twenty five twenty one,"Drama, Romance",8.6,15488,2022
tt15614372,tear along the dotted line,"Animation, Comedy, Drama",8.6,15174,2021
tt6385540,hilda,"Adventure, Animation, Drama",8.6,14498,2018
tt0120570,from the earth to the moon,"Action, Drama, History",8.6,13489,1998
tt1877368,the great british baking show,"Game-Show, Reality-TV",8.6,13306,2010
tt0086831,"yes, prime minister",Comedy,8.6,13279,1986
tt13634792,mouse,"Action, Crime, Mystery",8.6,12472,2021
tt5320412,moon lovers: scarlet heart ryeo,"Action, Drama, Fantasy",8.6,12319,2016
tt13400006,mr. queen,"Comedy, Fantasy, Romance",8.6,11778,2020
tt0118273,brass eye,Comedy,8.6,11760,1997
tt9103932,greatest events of wwii in colour,"Documentary, History, War",8.6,11378,2019
tt8254348,immature,"Comedy, Drama, Romance",8.6,10474,2019
tt31862849,very parivarik,Comedy,8.6,10292,2024
tt0426719,hunter x hunter,"Action, Adventure, Animation",8.6,10210,1999
tt4580372,merlí,"Comedy, Drama, Romance",8.6,10204,2015
tt9304350,fruits basket,"Animation, Comedy, Drama",8.6,10138,2019
tt2306299,vikings,"Action, Adventure, Drama",8.5,600836,2013
tt10048342,the queen's gambit,Drama,8.5,584254,2020
tt0475784,westworld,"Drama, Mystery, Sci-Fi",8.5,541415,2016
tt1442437,modern family,"Comedy, Drama, Romance",8.5,500363,2009
tt4158110,mr. robot,"Crime, Drama, Thriller",8.5,429200,2015
tt5071412,ozark,"Crime, Drama, Thriller",8.5,357925,2017
tt6763664,the haunting of hill house,"Drama, Horror, Mystery",8.5,300062,2018
tt1439629,community,Comedy,8.5,299111,2009
tt1586680,shameless,"Comedy, Drama",8.5,299028,2011
tt2243973,hannibal,"Crime, Drama, Horror",8.5,283685,2013
tt0149460,futurama,"Adventure, Animation, Comedy",8.5,266453,1999
tt1442449,spartacus,"Action, Adventure, Biography",8.5,261408,2010
tt0436992,doctor who,"Adventure, Drama, Sci-Fi",8.5,252435,2005
